time,AT,CH,DE,FR,IT
5001,0.64556856,0.401514861,0.87844057,0.755231715,0.495160645
5002,0.65643205,0.406890527,0.881334441,0.751886759,0.520768148
5003,0.722369076,0.420846702,0.891414022,0.733498038,0.559950352
5004,0.736350192,0.448235157,0.904657274,0.746134572,0.630786797
5005,0.783664287,0.475925963,0.901397917,0.745368226,0.715586736
5006,0.798501302,0.466848949,0.907301387,0.771995317,0.697299777
5007,0.847694372,0.443374817,0.913169435,0.765797919,0.57668832
5008,0.813357609,0.508068551,0.928472356,0.768545422,0.542459772
5009,0.795604105,0.527146562,0.923921623,0.760508543,0.556202962
5010,0.646248764,0.424905438,0.905695505,0.764956658,0.484493802
5011,0.630816209,0.403063923,0.896308487,0.789414487,0.438992247
5012,0.623287687,0.397670998,0.89857104,0.79226446,0.431514819
5013,0.624164367,0.403517107,0.898312542,0.777457685,0.451416777
5014,0.633253846,0.386119356,0.906138969,0.771256757,0.466794391
5015,0.617709112,0.374596547,0.895981922,0.765159377,0.447191423
5016,0.607025643,0.392742718,0.906633993,0.76663801,0.421431123
5017,0.64067018,0.396467935,0.920769454,0.768983816,0.426971473
5018,0.655035492,0.384181307,0.916061231,0.735373235,0.417598342
5019,0.64983061,0.373042112,0.920272082,0.712552346,0.425243397
5020,0.649238821,0.376858208,0.913890268,0.723139094,0.423527596
5021,0.642410387,0.377271887,0.914015081,0.762975604,0.423189623
5022,0.640259664,0.374241488,0.910399224,0.762445764,0.421903861
5023,0.647534078,0.362461893,0.898585175,0.72547438,0.446734144
5024,0.670182238,0.359909951,0.899166631,0.736128291,0.449610551
5025,0.640107539,0.364680418,0.893748494,0.727036081,0.464876377
5026,0.619802844,0.397143926,0.89418021,0.736147342,0.483382949
5027,0.634546953,0.437016493,0.908028557,0.746161372,0.513193928
5028,0.636886426,0.45077601,0.910332306,0.735613393,0.529879214
5029,0.670491986,0.491241251,0.914124,0.74369243,0.519181921
5030,0.716232422,0.464494095,0.914089309,0.759129568,0.502071172
5031,0.749048805,0.477662006,0.919896524,0.759318888,0.495972081
5032,0.655479025,0.419430267,0.897446277,0.766415656,0.489747285
5033,0.609893288,0.379043527,0.886840615,0.770391244,0.43314645
5034,0.612621491,0.398141029,0.885464638,0.77160775,0.424701019
5035,0.59560855,0.394358795,0.883151857,0.777607325,0.423185274
5036,0.595871732,0.389144366,0.881424506,0.791595077,0.423152687
5037,0.604732869,0.406500844,0.888384695,0.813775143,0.423049928
5038,0.604312416,0.39664431,0.890432325,0.805001109,0.418960518
5039,0.590387286,0.373682401,0.88016475,0.787133498,0.416437848
5040,0.592743657,0.370224964,0.875243693,0.782835487,0.416499304
5041,0.59917524,0.367300624,0.882102582,0.784953081,0.42337559
5042,0.601638428,0.375966351,0.88410329,0.78043599,0.430513084
5043,0.592394666,0.373021244,0.88013168,0.782582389,0.43906978
5044,0.595949681,0.374495838,0.881617936,0.768786152,0.447443065
5045,0.596068216,0.368940484,0.878392595,0.758327898,0.442098614
5046,0.599578072,0.361892843,0.881105449,0.762139054,0.43782335
5047,0.588888675,0.36615233,0.878822839,0.773160027,0.461073126
5048,0.61141509,0.360238833,0.884702864,0.767229106,0.478235787
5049,0.646824968,0.370642512,0.89183471,0.743085141,0.490443299
