set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
hydrogen_FC_ship,power,LV,0,gigawatt,0.27662568181818176,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,NL,0,gigawatt,15.370992954545457,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,NO,0,gigawatt,1.8511270454545459,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,PL,0,gigawatt,0.39999761363636366,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,PT,0,gigawatt,0.9880374999999999,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,RO,0,gigawatt,0.11228897727272727,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,SE,0,gigawatt,3.5249756818181823,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,SI,0,gigawatt,0.15257761363636363,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,SK,0,gigawatt,0.0,0.0,1184.6290220723104,1184.6290220723104
hydrogen_FC_ship,power,UK,0,gigawatt,4.252583068181818,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_to_cement_fuel,power,AT,0,gigawatt,0.4823726203639903,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,BE,0,gigawatt,0.6339855367439879,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,BG,0,gigawatt,0.2815843048217089,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,CH,0,gigawatt,0.47851983627600203,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,CZ,0,gigawatt,0.4887340680358073,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,DE,0,gigawatt,3.6029547361129635,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,DK,0,gigawatt,0.3933423315508721,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,EE,0,gigawatt,0.08966071314582647,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,EL,0,gigawatt,1.0286899876357904,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,ES,0,gigawatt,2.6564323382926647,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,FI,0,gigawatt,0.15783634172492447,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,FR,0,gigawatt,1.8132640407531055,0.0,-0.001246221034307382,-0.001246221034307382
