set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
EAF,power,IT,0,kilotonproduct / hour,1.6437548359246579,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,LT,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
EAF,power,LU,0,kilotonproduct / hour,0.15938508369863016,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,LV,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
EAF,power,NL,0,kilotonproduct / hour,0.4666438356164384,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,NO,0,kilotonproduct / hour,0.04456863013698631,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,PL,0,kilotonproduct / hour,0.6723972602739726,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,PT,0,kilotonproduct / hour,0.11643835616438354,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,RO,0,kilotonproduct / hour,0.24315068493150688,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SE,0,kilotonproduct / hour,0.31869863014383565,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SI,0,kilotonproduct / hour,0.044794520547945194,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SK,0,kilotonproduct / hour,0.35136986301369866,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,UK,0,kilotonproduct / hour,0.49315068493150693,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
H2_DRI,power,AT,0,kilotonproduct / hour,0.0,0.0,0.0,712.6095424560385,712.6095424560385,712.6095424560385
H2_DRI,power,BE,0,kilotonproduct / hour,0.0,0.0,0.0,1556.2133405414652,1556.2133405414652,1556.2133405414652
H2_DRI,power,BG,0,kilotonproduct / hour,0.0,0.0,0.0,1234.2383725138761,1234.2383725138761,1234.2383725138761
H2_DRI,power,CH,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,CZ,0,kilotonproduct / hour,0.0,0.0,0.0,474.8327838425912,474.8327838425912,474.8327838425912
H2_DRI,power,DE,0,kilotonproduct / hour,0.0,0.0,0.0,926.5172380028616,926.5172380028616,926.5172380028616
H2_DRI,power,DK,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,EE,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,EL,0,kilotonproduct / hour,0.0,0.0,0.0,1287.111539241459,1287.111539241459,1287.111539241459
H2_DRI,power,ES,0,kilotonproduct / hour,0.0,0.0,0.0,279.0434255129767,279.0434255129767,279.0434255129767
H2_DRI,power,FI,0,kilotonproduct / hour,0.0,0.0,0.0,1776.0377274412708,1776.0377274412708,1776.0377274412708
H2_DRI,power,FR,0,kilotonproduct / hour,0.0,0.0,0.0,498.1122964130518,498.1122964130518,498.1122964130518
H2_DRI,power,HR,0,kilotonproduct / hour,0.0,0.0,0.0,1001.2743378865066,1001.2743378865066,1001.2743378865066
