capex_euro_per_kw,node,year,built_gw,rc_euro_per_kw,rc_per_kw_eff
268,DE,0,0.0,206.8868433302665,591.1052666579103
268,DE,1,0.0,255.9369736901949,731.2484962577072
268,DE,2,0.0,255.9369736901949,731.2484962577072
268,DE,3,0.0,255.9369736901949,731.2484962577072
268,DE,4,0.0,255.9369736901949,731.2484962577072
268,DE,5,0.0,255.93697369019486,731.2484962577071
200,CH,0,0.0,4.0523140398818214e-14,1.157804011394818e-13
200,CH,1,0.0,4.0523140398818214e-14,1.157804011394818e-13
200,CH,2,0.0,99.43773951700086,284.10782719143396
200,CH,3,0.0,66.32930758836001,189.51230739531624
200,CH,4,0.0,0.0,0.0
200,CH,5,0.0,0.0,0.0
200,DE,0,0.0,138.88684333026646,396.8195523721939
200,DE,1,0.0,187.9369736901949,536.9627819719909
200,DE,2,0.0,187.9369736901949,536.9627819719909
200,DE,3,0.0,187.9369736901949,536.9627819719909
200,DE,4,0.0,187.9369736901949,536.9627819719909
200,DE,5,0.0,187.93697369019486,536.9627819719908
100,CH,0,0.0,2.0261570199409107e-14,5.78902005697409e-14
100,CH,1,0.0,2.0261570199409107e-14,5.78902005697409e-14
100,CH,2,0.0,23.941379690606286,68.40394197316152
100,CH,3,0.0,0.0,0.0
100,CH,4,0.0,87.93697369019489,251.24849625770224
100,CH,5,0.0,87.93697369019488,251.24849625770221
100,DE,0,0.0,0.0,0.0
100,DE,1,0.0,87.9369736901949,251.2484962577023
100,DE,2,0.0,87.93697369019492,251.24849625770233
100,DE,3,0.0,87.93697369019489,251.24849625770224
100,DE,4,0.0,87.93697369019489,251.24849625770224
100,DE,5,0.0,87.93697369019488,251.24849625770221
